PlotID,YearMeas,AgeMeas,BA,height,stem_count,SI,ba_sd,height_sd,stem_count_sd,SI_sd,FID,Installation,PLOT,PlantDensity,Replicate,Culture,Treatment,Thinning
,1994,26,172.8680448,56.53333333,577.7777778,53.70215409,1,0.87915102,10,1,345,0,31081,1048.8889,0,0,0,1
,2000,32,187.0149936,70.45833333,462.2222222,53.70215409,1,1.09569898,10,1,345,0,31081,1048.8889,0,0,0,1
,2003,35,194.656896,72.44875394,462.2222222,53.70215409,1,1.126652051,10,1,345,0,31081,1048.8889,0,0,0,1
,1982,17,143.7718032,42.95402299,835.5555556,57.51250313,1,0.667978888,10,1,345,0,31111,1048.8889,0,0,0,1
,1981,21,161.5600059,58.04166667,488.0382775,67.05813333,1,0.902607143,10,1,346,0,31031,794.2584,0,0,0,1
,1987,27,177.0023937,72.08108108,392.3444976,67.05813333,1,1.120934363,10,1,346,0,31031,794.2584,0,0,0,1
,1990,30,177.3134544,79.5483871,325.3588517,67.05813333,1,1.237058591,10,1,346,0,31031,794.2584,0,0,0,1
,1981,24,170.4481992,60.88372093,430.6220096,62.6237938,1,0.946803987,10,1,346,0,31061,794.2584,0,0,0,1
,1997,16,209.7404724,61.27118644,514.5228216,83.03726416,1,0.952829471,10,1,349,0,30931,821.5768,0,0,0,1
,1982,13,126.3218818,37.85185185,730.2904564,60.08898023,1,0.588634921,10,1,349,0,31051,821.5768,0,0,0,1
,1988,19,168.4249514,49.34722222,655.6016598,60.08898023,1,0.76739966,10,1,349,0,31051,821.5768,0,0,0,1
,1991,22,184.525793,52.04285714,639.0041494,60.08898023,1,0.809319533,10,1,349,0,31051,821.5768,0,0,0,1
